name,url,description,duration_minutes,adaptive_support,remote_support,test_type
Generic Test Variant 257,https://www.shl.com/products/product-catalog/view/generic-variant-257/,SHL Generic Test Variant 257: General assessment for various roles.,60,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 258,https://www.shl.com/products/product-catalog/view/generic-variant-258/,SHL Generic Test Variant 258: General assessment for various roles.,35,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 259,https://www.shl.com/products/product-catalog/view/generic-variant-259/,SHL Generic Test Variant 259: General assessment for various roles.,20,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 260,https://www.shl.com/products/product-catalog/view/generic-variant-260/,SHL Generic Test Variant 260: General assessment for various roles.,30,No,Yes,['Knowledge & Skills']
Generic Test Variant 261,https://www.shl.com/products/product-catalog/view/generic-variant-261/,SHL Generic Test Variant 261: General assessment for various roles.,55,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 262,https://www.shl.com/products/product-catalog/view/generic-variant-262/,SHL Generic Test Variant 262: General assessment for various roles.,55,No,Yes,['Knowledge & Skills']
Generic Test Variant 263,https://www.shl.com/products/product-catalog/view/generic-variant-263/,SHL Generic Test Variant 263: General assessment for various roles.,35,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 264,https://www.shl.com/products/product-catalog/view/generic-variant-264/,SHL Generic Test Variant 264: General assessment for various roles.,45,No,Yes,['Knowledge & Skills']
Generic Test Variant 265,https://www.shl.com/products/product-catalog/view/generic-variant-265/,SHL Generic Test Variant 265: General assessment for various roles.,25,No,Yes,['Knowledge & Skills']
Generic Test Variant 266,https://www.shl.com/products/product-catalog/view/generic-variant-266/,SHL Generic Test Variant 266: General assessment for various roles.,15,No,Yes,['Personality & Behaviour']
Generic Test Variant 267,https://www.shl.com/products/product-catalog/view/generic-variant-267/,SHL Generic Test Variant 267: General assessment for various roles.,20,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 268,https://www.shl.com/products/product-catalog/view/generic-variant-268/,SHL Generic Test Variant 268: General assessment for various roles.,40,No,Yes,['Personality & Behaviour']
Generic Test Variant 269,https://www.shl.com/products/product-catalog/view/generic-variant-269/,SHL Generic Test Variant 269: General assessment for various roles.,15,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 270,https://www.shl.com/products/product-catalog/view/generic-variant-270/,SHL Generic Test Variant 270: General assessment for various roles.,40,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 271,https://www.shl.com/products/product-catalog/view/generic-variant-271/,SHL Generic Test Variant 271: General assessment for various roles.,25,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 272,https://www.shl.com/products/product-catalog/view/generic-variant-272/,SHL Generic Test Variant 272: General assessment for various roles.,15,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 273,https://www.shl.com/products/product-catalog/view/generic-variant-273/,SHL Generic Test Variant 273: General assessment for various roles.,20,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 274,https://www.shl.com/products/product-catalog/view/generic-variant-274/,SHL Generic Test Variant 274: General assessment for various roles.,60,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 275,https://www.shl.com/products/product-catalog/view/generic-variant-275/,SHL Generic Test Variant 275: General assessment for various roles.,35,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 276,https://www.shl.com/products/product-catalog/view/generic-variant-276/,SHL Generic Test Variant 276: General assessment for various roles.,60,No,Yes,['Personality & Behaviour']
Generic Test Variant 277,https://www.shl.com/products/product-catalog/view/generic-variant-277/,SHL Generic Test Variant 277: General assessment for various roles.,15,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 278,https://www.shl.com/products/product-catalog/view/generic-variant-278/,SHL Generic Test Variant 278: General assessment for various roles.,10,No,Yes,['Personality & Behaviour']
Generic Test Variant 279,https://www.shl.com/products/product-catalog/view/generic-variant-279/,SHL Generic Test Variant 279: General assessment for various roles.,15,No,Yes,['Personality & Behaviour']
Generic Test Variant 280,https://www.shl.com/products/product-catalog/view/generic-variant-280/,SHL Generic Test Variant 280: General assessment for various roles.,65,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 281,https://www.shl.com/products/product-catalog/view/generic-variant-281/,SHL Generic Test Variant 281: General assessment for various roles.,10,No,Yes,['Personality & Behaviour']
Generic Test Variant 282,https://www.shl.com/products/product-catalog/view/generic-variant-282/,SHL Generic Test Variant 282: General assessment for various roles.,20,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 283,https://www.shl.com/products/product-catalog/view/generic-variant-283/,SHL Generic Test Variant 283: General assessment for various roles.,15,No,Yes,['Knowledge & Skills']
Generic Test Variant 284,https://www.shl.com/products/product-catalog/view/generic-variant-284/,SHL Generic Test Variant 284: General assessment for various roles.,10,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 285,https://www.shl.com/products/product-catalog/view/generic-variant-285/,SHL Generic Test Variant 285: General assessment for various roles.,60,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 286,https://www.shl.com/products/product-catalog/view/generic-variant-286/,SHL Generic Test Variant 286: General assessment for various roles.,40,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 287,https://www.shl.com/products/product-catalog/view/generic-variant-287/,SHL Generic Test Variant 287: General assessment for various roles.,50,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 288,https://www.shl.com/products/product-catalog/view/generic-variant-288/,SHL Generic Test Variant 288: General assessment for various roles.,50,No,Yes,['Knowledge & Skills']
Generic Test Variant 289,https://www.shl.com/products/product-catalog/view/generic-variant-289/,SHL Generic Test Variant 289: General assessment for various roles.,10,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 290,https://www.shl.com/products/product-catalog/view/generic-variant-290/,SHL Generic Test Variant 290: General assessment for various roles.,10,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 291,https://www.shl.com/products/product-catalog/view/generic-variant-291/,SHL Generic Test Variant 291: General assessment for various roles.,35,No,Yes,['Knowledge & Skills']
Generic Test Variant 292,https://www.shl.com/products/product-catalog/view/generic-variant-292/,SHL Generic Test Variant 292: General assessment for various roles.,40,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 293,https://www.shl.com/products/product-catalog/view/generic-variant-293/,SHL Generic Test Variant 293: General assessment for various roles.,35,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 294,https://www.shl.com/products/product-catalog/view/generic-variant-294/,SHL Generic Test Variant 294: General assessment for various roles.,35,No,Yes,['Knowledge & Skills']
Generic Test Variant 295,https://www.shl.com/products/product-catalog/view/generic-variant-295/,SHL Generic Test Variant 295: General assessment for various roles.,65,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 296,https://www.shl.com/products/product-catalog/view/generic-variant-296/,SHL Generic Test Variant 296: General assessment for various roles.,20,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 297,https://www.shl.com/products/product-catalog/view/generic-variant-297/,SHL Generic Test Variant 297: General assessment for various roles.,60,No,Yes,['Personality & Behaviour']
Generic Test Variant 298,https://www.shl.com/products/product-catalog/view/generic-variant-298/,SHL Generic Test Variant 298: General assessment for various roles.,20,No,Yes,['Knowledge & Skills']
Generic Test Variant 299,https://www.shl.com/products/product-catalog/view/generic-variant-299/,SHL Generic Test Variant 299: General assessment for various roles.,40,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 300,https://www.shl.com/products/product-catalog/view/generic-variant-300/,SHL Generic Test Variant 300: General assessment for various roles.,50,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 301,https://www.shl.com/products/product-catalog/view/generic-variant-301/,SHL Generic Test Variant 301: General assessment for various roles.,40,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 302,https://www.shl.com/products/product-catalog/view/generic-variant-302/,SHL Generic Test Variant 302: General assessment for various roles.,65,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 303,https://www.shl.com/products/product-catalog/view/generic-variant-303/,SHL Generic Test Variant 303: General assessment for various roles.,20,No,Yes,['Knowledge & Skills']
Generic Test Variant 304,https://www.shl.com/products/product-catalog/view/generic-variant-304/,SHL Generic Test Variant 304: General assessment for various roles.,65,No,Yes,['Knowledge & Skills']
Generic Test Variant 305,https://www.shl.com/products/product-catalog/view/generic-variant-305/,SHL Generic Test Variant 305: General assessment for various roles.,55,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 306,https://www.shl.com/products/product-catalog/view/generic-variant-306/,SHL Generic Test Variant 306: General assessment for various roles.,35,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 307,https://www.shl.com/products/product-catalog/view/generic-variant-307/,SHL Generic Test Variant 307: General assessment for various roles.,65,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 308,https://www.shl.com/products/product-catalog/view/generic-variant-308/,SHL Generic Test Variant 308: General assessment for various roles.,30,No,Yes,['Personality & Behaviour']
Generic Test Variant 309,https://www.shl.com/products/product-catalog/view/generic-variant-309/,SHL Generic Test Variant 309: General assessment for various roles.,60,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 310,https://www.shl.com/products/product-catalog/view/generic-variant-310/,SHL Generic Test Variant 310: General assessment for various roles.,60,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 311,https://www.shl.com/products/product-catalog/view/generic-variant-311/,SHL Generic Test Variant 311: General assessment for various roles.,50,No,Yes,['Knowledge & Skills']
Generic Test Variant 312,https://www.shl.com/products/product-catalog/view/generic-variant-312/,SHL Generic Test Variant 312: General assessment for various roles.,60,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 313,https://www.shl.com/products/product-catalog/view/generic-variant-313/,SHL Generic Test Variant 313: General assessment for various roles.,10,No,Yes,['Knowledge & Skills']
Generic Test Variant 314,https://www.shl.com/products/product-catalog/view/generic-variant-314/,SHL Generic Test Variant 314: General assessment for various roles.,15,No,Yes,['Personality & Behaviour']
Generic Test Variant 315,https://www.shl.com/products/product-catalog/view/generic-variant-315/,SHL Generic Test Variant 315: General assessment for various roles.,65,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 316,https://www.shl.com/products/product-catalog/view/generic-variant-316/,SHL Generic Test Variant 316: General assessment for various roles.,35,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 317,https://www.shl.com/products/product-catalog/view/generic-variant-317/,SHL Generic Test Variant 317: General assessment for various roles.,65,No,Yes,['Personality & Behaviour']
Generic Test Variant 318,https://www.shl.com/products/product-catalog/view/generic-variant-318/,SHL Generic Test Variant 318: General assessment for various roles.,20,No,Yes,['Personality & Behaviour']
Generic Test Variant 319,https://www.shl.com/products/product-catalog/view/generic-variant-319/,SHL Generic Test Variant 319: General assessment for various roles.,25,No,Yes,['Personality & Behaviour']
Generic Test Variant 320,https://www.shl.com/products/product-catalog/view/generic-variant-320/,SHL Generic Test Variant 320: General assessment for various roles.,25,No,Yes,['Knowledge & Skills']
Generic Test Variant 321,https://www.shl.com/products/product-catalog/view/generic-variant-321/,SHL Generic Test Variant 321: General assessment for various roles.,50,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 322,https://www.shl.com/products/product-catalog/view/generic-variant-322/,SHL Generic Test Variant 322: General assessment for various roles.,15,No,Yes,['Knowledge & Skills']
Generic Test Variant 323,https://www.shl.com/products/product-catalog/view/generic-variant-323/,SHL Generic Test Variant 323: General assessment for various roles.,30,No,Yes,['Personality & Behaviour']
